Book,Date,Pg. Number,Document Pg. Number,Header,Entry
Diary 1880,1880-01-16,195-196,220-221,FRIDAY 16,"Finished arrangement of Pamphlets.
Edith.
Burton's Queen Anne. 
Odyssey.
Music.
"
Diary 1880,1880-01-17,196,221,SATURDAY 17,"Clear day. Drove in Hyde Park.
Astronomy.
Mr. and Mrs. Austin and Mr. Kegan Paul."
Diary 1880,1880-01-18,196,221,SUNDAY 18,"Sir Henry Maine, Mrs. Orr, Dr. Waldstein.
Miss Streeter. "
Diary 1880,1880-01-19,196,221,MONDAY 19,Went to Exhibition of Old Masters.
Diary 1880,1880-01-20,196,221,TUESDAY 20,To Sizer's with Books for binding. 
Diary 1880,1880-01-21,196,221,WEDNESDAY 21,"To Offord's about Carriage.
Letter from Mrs. Streeter, thanking me."
Diary 1880,1880-01-22,196,221,THURSDAY 22,"Mr. Clifford, artist, called to talk about East End work.
Finished Fanny Kemble's Records of a girlhood."
Diary 1880,1880-01-23,196,221,FRIDAY 23,"Balance £1061 + 25.
Drove to Hampstead and walked.
Mignon and Phil to tea.
Letters from Mr. Justice Bowen, Mrs. Wilson (about Italian translation of
Deronda) andMrs. Westlake (about Spelling Reform). "
Diary 1880,1880-01-24,196,221,SATURDAY 24,"Wentto Exhibition of Old Masters.
Miss Cross."
Diary 1880,1880-01-25,196,221,SUNDAY 25,"Hebrew.
Mr Trubner, Bret Harte, Mr. Lyulph Stanley. "
Diary 1880,1880-01-26,196,221,MONDAY 26,"To Grosvenor Gallery with Mrs. Burne Jones.
Letter from Mr. Pigott enclosing one from Mr. S. M. Samuel about dramatizing
'Deronda'.
Pole's Music. "
Diary 1880,1880-01-27,197,222,TUESDAY 27,Fog and severe cold. Did not go out. 
Diary 1880,1880-01-28,197,222,WEDNESDAY 28,"Continued fog and cold.
Mrs. Gurney called. "
Diary 1880,1880-01-29,197,222,THURSDAY 29,"Went to the Grosvenor Gallery again.
Mr. Gurney, Elinor, Edith.
Finished heap of pamphlets on the Jewish question in Germany. "
Diary 1880,1880-01-30,197,222,FRIDAY 30,"Prof. Croom Robertson - talked to him about disposal of Library for public
purposes. "
Diary 1880,1880-01-31,197,222,SATURDAY 31,"Sent cheque for 39.19.5 to Duncan, Warren and Gardner.
Mr Samuel came about ""Daniel Deronda"". "
Diary 1880,1880-02-01,197,222,"FEBRUARY 1880
SUNDAY 1",General Hamley called. Hebrew. Kenilworth. 
Diary 1880,1880-02-02,197,222,MONDAY 2,"Norwell.
Drove in Hyde Park and walked under a little Sunshine.
Charles and Mr. Hamilton Aide called.
Dante."
Diary 1880,1880-02-03,197,222,TUESDAY 3,"Letters and cheques.
Drove to Mecklenburgh Square.
Vivian and his wife (next day). Gave him 3 boxes of cigars.
Taken rather ill with cholic. "
Diary 1880,1880-02-04,197,222,WEDNESDAY 4,Read a heap ofJ ewish Chronicles. 
Diary 1880,1880-02-05,197,222,THURSDAY 5,"Probable Balance after having Sent Head for Income Tax 62.10.10- £932.
Letter from Barbara-wrote in reply. "
Diary 1880,1880-02-06,197-198,222-223,FRIDAY 6,"Called at Mr. Clifford's Studio- not at Home.
Went on to Grosvenor Gallery. 
Mr. G. Smith wrote about Edition de luxe of Romola.
Pole's music. "
Diary 1880,1880-02-07,198,223,SATURDAY 7,"Wet day - did not go out.
Hebrew.
Pole. "
Diary 1880,1880-02-08,198,223,SUNDAY 8,Miss Streeter and Mr. Harrison. 
Diary 1880,1880-02-09,198,223,MONDAY 9,Mrs. W. Sellar and her daughter Eppie. 
Diary 1880,1880-02-10,198,223,TUESDAY 10,Mr and Mrs. DuMaurier. 
Diary 1880,1880-02-11,198,223,WEDNESDAY 11,"Mrs. Congreve came to lunch.
Charles called. "
Diary 1880,1880-02-12,198,223,THURSDAY 12,"Dentist and Regents Park.
Mrs. P.A. Taylor called. "
Diary 1880,1880-02-13,198,223,FRIDAY 13,"Drove to Dentist's.
Mr. George Smith called-about Romola.
Mrs. Burne Jones and Miss Florence Hill."
Diary 1880,1880-02-14,198,223,SATURDAY 14,"Received Blackwood's account.
No. of copies of works (vols.) sold, 32,543.
Sent Brock's wages till Easter Monday.
Mr. L. Tennyson and Mr. Ernest Myers. "
Diary 1880,1880-02-15,198,223,SUNDAY 15,"Miss North brought her Indian drawings, with Miss Ewart. Mr. H. Spencer,
Mde. Belloc, Mr and Mrs. Allingham. "
Diary 1880,1880-02-16,198,223,MONDAY 16,"Brock's wages paid to this day.
Read 'Hebrew Migration' - an anonymous Book, very well done - arguing that
Mount Sinai is in Idumaea and is identical with Mount Hor. "
Diary 1880,1880-02-21,198,223,SATURDAY 21,Charles and Gertrude with Blanche and Maud to lunch. 
Diary 1880,1880-02-23,199,224,MONDAY 23,Affectionate letters from strangers. 
Diary 1880,1880-02-25,199,224,WEDNESDAY 25,"To South Kensington Museum.
Mrs. Earle. "
Diary 1880,1880-02-26,199,224,THURSDAY 26,"Letter from a German, of an effusive kind, begging me to let him know if I were
coming to Germany, pronouncing my books supreme in their kind, but calling
me 'a female politician, with my absurd notion of Palestina Rediviva'! "
Diary 1880,1880-02-27,199,224,FRIDAY 27,"Wrote to Emily and sent her £25.
Mr. Williams.
Mrs. R. Ritchie and Miss R.
Mrs. Geddes.
Bad headache.
Letter from ""Dolores"". "
Diary 1880,1880-02-28,199,224,SATURDAY 28,"Incapacitating Headache.
Children to Tea. Mr. Trollope and Mr. K. Paul with his daughter. "
Diary 1880,1880-02-29,199,224,SUNDAY 29,"Mr. and Mrs. L. Stanley and Mr. Justice Bowen.
Headache continued. "
Diary 1880,1880-03-01,199,224,"MARCH 1880
MONDAY 1","Called on Mrs. Stuart.
Mde. Belloc and Mrs. Clifford. "
Diary 1880,1880-03-02,199,224,TUESDAY 2,"Beatrice and Sophie came to lunch and I took them to the Exhibition of Old
Masters. "
Diary 1880,1880-03-06,199,224,SATURDAY 6,"Drove to Dulwich Gallery.
Mrs. Orr and Mr. Bond. "
Diary 1880,1880-03-08,199,224,MONDAY 8,Mrs. Earle and Miss Graham. 
Diary 1880,1880-03-09,200,225,TUESDAY 9,"Drove to Hampstead to see Eliza.
Mrs. and Miss Lankester and Edith. "
Diary 1880,1880-03-11,200,225,THURSDAY 11,"American letters, letters! "
Diary 1880,1880-03-12,200,225,FRIDAY 12,"Went to see Mrs. Allingham's drawings.
Taken very ill with cholic which lasted a couple ofhours (after receiving Lady
Ponsonby). "
Diary 1880,1880-03-13,200,225,SATURDAY 13,"Feeling much shattered.
Alice Helps and Florence Hill. "
Diary 1880,1880-03-14,200,225,SUNDAY 14,"Charles to lunch. Mde. Bodichon, Mr. and Mrs. Call, Mr. Spencer, Mr. and Mrs.
Harrison, Mr. Ro manes, Mr. and Mrs. Sidgwick, Mr. F. Pollock. "
Diary 1880,1880-03-15,200,225,MONDAY 15,"Walked in the Park.
Wrote to Susanna and Vivian and sent cheque.
Mrs. Greville. "
Diary 1880,1880-03-16,200,225,TUESDAY 16,"Called on Mrs. Stewart.
Mr. Pigott called, and Burne Jones. "
Diary 1880,1880-03-18,200,225,THURSDAY 18,"Miss Rintoul.
Teased with choosing curtains for Witley. "
Diary 1880,1880-03-19,200,225,FRIDAY 19,"Sad and not well.
Drove towards Kilburn in the morning.
Sir James and Lady Col vile, Mr. and Mrs. Leslie Stephen. Mr. Shad worth
Hodgson and Charles.
Long letter from Miss Beneke. "
Diary 1880,1880-03-20,200,225,SATURDAY 20,"Wrote to Mr. Sully and Mr. Trlibner and sent cheque to Mr. Parson.
Mr. and Mrs. Beesly and Miss Simcox. "
Diary 1880,1880-03-21,200,225,SUNDAY 21,Mr. Justice Bowen and Mr. and Mrs. Yates Thomson. 
Diary 1880,1880-03-22,200,225,MONDAY 22,Mrs. Clifford. 
Diary 1880,1880-03-23,201,226,TUESDAY 23,"Went to see Eliza.
Mr. Hall, Lady Lindsay, Mr. Tennyson and Hallam. Dr. Waldstein, Lady Lilford
and her son Mr. Powys. "
Diary 1880,1880-03-24,201,226,WEDNESDAY 24,"To the British Museum.
Mrs. Higford Burr. Mrs. Burne Jones.
Charles to dinner. "
Diary 1880,1880-03-25,201,226,THURSDAY 25,"Drove along the Kilburn Road.
Miss Simcox, Mrs. Greville and Lady Pollock."
Diary 1880,1880-03-26,201,226,FRIDAY 26,"Quiet day. Walked in the Park.
Mr. and Mrs. F. Pollock called, but I did not see them. "
Diary 1880,1880-03-27,201,226,SATURDAY 27,Mrs. Congreve to lunch. Drove her home. 
Diary 1880,1880-03-28,201,226,SUNDAY 28,Went to Weybridge. 
Diary 1880,1880-03-29,201,226,MONDAY 29,"Brock's wages paid up to this day.
Walked on St. George's Hill.
Letter from America asking me to read M. S. Revelation. "
Diary 1880,1880-03-30,201,226,TUESDAY 30,"Returned from Weybridge early.
Maud's birthday. Gertrude, Blanche and Maud to lunch.
Miss Colenso came. Much interesting talk.
Went to see Mrs. Stuart.
Letter from Mrs. Elizabeth Thompson, U.S.A. "
Diary 1880,1880-03-31,201,226,WEDNESDAY 31,"Drove to 7 Cromwell Place and to Addison Gardens.
Mrs. Burne Jones from 4.30. "
Diary 1880,1880-04-01,201,226,"APRIL 1880
THURSDAY 1","Drove to Hampstead and took cheque to Eliza.
Quiet afternoon. Finished Prose Edda, etc.
Akkadians.
Malthus. "
Diary 1880,1880-04-02,202,227,FRIDAY 2,"Balance 515.
Alice Helps. "
Diary 1880,1880-04-03,202,227,SATURDAY 3,Went to Sydenham. 
Diary 1880,1880-04-09,202,227,FRIDAY 9,"Sir James Paget came to see me.
My marriage decided. "
Diary 1880,1880-04-10,202,227,SATURDAY 10,To Chelsea to look at No. 4 Cheyne Walk. 
Diary 1880,1880-04-12,202,227,MONDAY 12,"Drove out Alice Helps.
Mr. W. Cross. "
Diary 1880,1880-04-13,202,227,TUESDAY 13,Charles and Mr. Williams. 
Diary 1880,1880-04-16,202,227,FRIDAY 16,"Sir James and Lady Colvile and Miss Paul.
Charles. "
Diary 1880,1880-04-17,202,227,SATURDAY 17,"To Kew.
Mr. Paul, Mrs. Moscheles and Mr. Robb. "
Diary 1880,1880-04-18,202,227,N/A,"SUNDAY 18
Mr. and Mrs. Harrison. "
Diary 1880,1880-04-19,202,227,N/A,"MONDAY 19
Gertrude, Eliza and children. Charles. Mr. Allingham, Leslie Stephen, Mrs.
Clifford, Miss Colenso. "
Diary 1880,1880-04-20,202,227,N/A,"TUESDAY 20
Went to see Mrs. Stuart. "
Diary 1880,1880-04-22,202,227,N/A,"THURSDAY 22
To Sevenoaks. "
Diary 1880,1880-04-23,202,227,N/A,"FRIDAY 23
Charles came to tell me of his promotion.
Went in the afternoon to BurneJones's.
Sir James Paget called during my absence.
Sent Eliza her cheque for May. "
Diary 1880,1880-04-24,203,228,N/A,SATURDAY 24 To Weybridge.
Diary 1880,1880-04-26,203,228,N/A,"MONDAY 26
Returned from Weybridge with bad cold.
Mr. Pigott and Miss Simcox called.
Mr. Sully sent me the 'Academy' containing his article on Problems- third
Series. "
Diary 1880,1880-04-27,203,228,N/A,"TUESDAY 27
Sizer sent home books from binding."
Diary 1880,1880-05-05,203,228,N/A,"WEDNESDAY 5
Draw cheque for Charles £110 on acct. of
Kensington                                                    £25
Susanna                                                         18.15
Eliza till Aug.                                                 33. 6.8
Mrs.Dowlingonacct.July15,                       £20
HerandPhcebe'swagesJuly15 ,                  £ 9.10"
Diary 1880,1880-05-06,203,228,N/A,"THURSDAY 6
Married this day at 10.15 to John Walter Cross, at St. George's, Hanover Square.
Present, Charles, who gave me away, Mr. and Mrs. Druce, Mr. Hall, Willie, Mary,
Eleanor, and Florence. We went back to the Priory, where we signed our wills.
Then we started for Dover, and arrived there a little afters o'clock."
Diary 1880,1880-05-07,203,228,N/A,"FRIDAY 7
We crossed the Channel delightfully in a private cabin on deck, and then went
on to Amiens, where we were made very comfortable at the Hotel du Rhin. We
went to see the Cathedral before dinner and looked at the wondrous wood
carving in the choir. In the morning we repeated our visit and had a view of the
fapde. "
Diary 1880,1880-05-08,203,228,N/A,"SATURDAY 8
We took a leisurely walk in the Cathedral noticing the coloured sculptures
round the choir, representing the lives of St. Firmin and St. Sauve-some of the
figures excellent. Came on to Paris and after a vain attempt to get rooms in the
Hotel Voltaire, arrived at the Hotel Vouillemont about so' clock. Here we have a
pleasant sunshiny apartment. "
Diary 1880,1880-05-09,203,228,N/A,"SUNDAY 9
Wrote Letters.
Went to the Russian Church - too late.
Read Ruy Blas aloud . Afterwards saw 3 acts."
Diary 1880,1880-05-10,204,229,N/A,"MONDAY 10
(Brock's wages paid to this day). Saw La Sainte Chapelle, which delighted]. then
entered Notre Dame.
Lunched at the Cafe Corazza.
Drove in the Bois.
Bought Saynetes et Monologues. (1)"
Diary 1880,1880-05-11,204,229,N/A,"TUESDAY 11
Went to the Louvre from 11 till 12.30.
Corazza.
Eugenie Grandet.
Walk in the Champs Elysees."
Diary 1880,1880-05-13,204,229,N/A,"THURSDAY 13
Morning in the Musee du Luxembourg. Feyen's little picture of a market on the
coast. "
Diary 1880,1880-05-14,204,229,N/A,"FRIDAY 14
To Sens."
Diary 1880,1880-05-15,204,229,N/A,"SATURDAY 15
To Dijon. "
Diary 1880,1880-05-16,204,229,N/A,"SUNDAY 16
Afternoon to Macon. "
Diary 1880,1880-05-17,204,229,N/A,"MONDAY 17
To Lyons. "
Diary 1880,1880-05-18,204,229,N/A,"TUESDAY 18
To Grenoble."
Diary 1880,1880-05-19,204,229,N/A,"WEDNESDAY 19
To the Grande Chartreuse. "
Diary 1880,1880-05-20,204,229,N/A,"THURSDAY 20
To Chambery. "
Diary 1880,1880-05-21,204,229,N/A,"FRIDAY 21
Walked to Les Charmettes. "
Diary 1880,1880-05-22,204,229,N/A,"SATURDAY 22
ToModane. "
Diary 1880,1880-05-23,204,229,N/A,"SUNDAY 23
To Turin. "
Diary 1880,1880-05-24,205,230,N/A,"MONDAY 24
To Milan."
Diary 1880,1880-05-25,205,230,N/A,"TUESDAY 25
To the Brera Gallery. "
Diary 1880,1880-05-26,205,230,N/A,"WEDNESDAY 26
To San Ambrogio. "
Diary 1880,1880-05-27,205,230,N/A,"THURSDAY 27
Festa - everywhere we went we found ourselves at the wrong moment."
Diary 1880,1880-05-28,205,230,N/A,"FRIDAY 28
To San Maurizio and S. Giorgio in Palazzo."
Diary 1880,1880-05-29,205,230,N/A,"SATURDAY 29
To Santa Maria delle Grazie."
Diary 1880,1880-05-30,205,230,N/A,"SUNDAY 30
To Verona. "
Diary 1880,1880-05-31,205,230,N/A,"MONDAY 31
Saw the Duomo, the church ofS. Zeno and the tombs of the Scaligers. Had a long
drive in the environs. Went into the Amphitheatre. "
Diary 1880,1880-06-01,205,230,N/A,"TUESDAY 1
Went to the Museo and the church ofS. Anastasio.
In the afternoon to Padua. "
Diary 1880,1880-06-02,205,230,N/A,"WEDNESDAY 2
Saw the Church of San Antonio, with especial attention to the two chapels
ofS. Antonio and S. - , the Arena Chapel, and the general aspect of the town,
passing by the Palazzo Ragione. In the afternoon to Venice, where we looked
round and into S. Marco. "
Diary 1880,1880-06-03,205,230,N/A,"THURSDAY 3
Awoke in Venice. First Visitto the Accademia. "
Diary 1880,1880-06-05,205,230,N/A,"SATURDAY 5
Bought some pamphlets of Ruskin's at Ongania's."
Diary 1880,1880-06-06,205,230,N/A,"SUNDAY 6
Festa ( Corpus Christi(?)) and procession which we went to see among a crowd
of gondolas. "
Diary 1880,1880-06-08,206,231,N/A,"TUESDAY 8
To the Lido.
J. called at Mr. Bunney's and brought home other pamphlets of Ruskin."
Diary 1880,1880-06-09,206,231,N/A,"WEDNESDAY 9
To Murano and Torcello.
To Santa Maria Formosa, to see Santa Barbara.
To the Accademia to see pictures pointed out by Ruskin: Giovanni Bellini,
Tintorets, Carpaccio etc. "
Diary 1880,1880-06-10,206,231,N/A,"THURSDAY 10
San Zaccaria: Giovanni Bellini: S. Giovanni in Bragola: Baptism of Christ by
Cima; S. Giov. Crisostomo; the last picture of G. Bellini - S. Cristoforo etc, and
Giorgione's San Crisostomo and Saints, finished by Sebastian del Piombo."
Diary 1880,1880-06-11,206,231,N/A,"FRIDAY 11
S. Vi tales: Carpaccio's picture, over the altar. Carmine: Cima's Nativity with
To bit and Angel. Madonna dell'Orto, Cima's John the Baptist, Tintoretto's Last
Judgment, St. Agnes, Worshipping the Golden Calf, and Presentation of the
Virgin. Also his Tomb.
At 4 o'clock to Mr. Bunney's, who showed us his sketches. "
Diary 1880,1880-06-12,206,231,N/A,"SATURDAY 12
Into the Piazza to meet Mr. B unney who showed us his picture of the fa~ade of S.
Marco, then went with us to S. Maria Formosa, to find my remembered
Madonna spreading her robe, by B. Vivarini, then to look at the Adam and Eve
Capital of the Palazzo Ducale. Afterwards we went to the Salute to look at
Tintoret's Marriage at Cana. After lunch the Carmine, S. Sebastiano, S. Casciano."
Diary 1880,1880-06-13,206,231,N/A,"SUNDAY 13
To see the Scuola di S. Giovanni, and into the Frari hearing music. At 1 / 2 past 5
to Mr. Bunney's to see pictures. "
Diary 1880,1880-06-14,206,231,N/A,"MONDAY 14
With Mr. and Mrs. Bunney to the Manfrini Palace and Casa de' quattro
Evangelisti. "
Diary 1880,1880-06-15,206,231,N/A,"TUESDAY 15
To the Accademia seeing the Bellinis.
Did not go out after lunch."
Diary 1880,1880-06-16,206,231,N/A,"WEDNESDAY 16
Dr. Ricchetti called. "
Diary 1880,1880-06-18,206,231,N/A,"FRIDAY 18
Dr. Cesare Vigna called in. Came at 10.3op.m.
Willie arrived in the Evening."
Diary 1880,1880-06-19,207,232,N/A,"SATURDAY 19
Dr. Vigna twice.
Better. Wrote to the girls.
Sent Telegram.
Willy arrived in the evening."
Diary 1880,1880-06-20,207,232,N/A,"SUNDAY 20
Better on the whole. Wrote telegram.
Dr. V. twice."
Diary 1880,1880-06-21,207,232,N/A,"MONDAY 21
Quiet night, without chloral.
Dr. Vigna in the morning, alone. "
Diary 1880,1880-06-23,207,232,N/A,"WEDNESDAY 23
8June-1July 1880
Left Venice at 9.5 a.m and travelled to Verona- 'le Due Torri'. "
Diary 1880,1880-06-24,207,232,N/A,"THURSDAY 24
To Trent- Hotel Trento. "
Diary 1880,1880-06-25,207,232,N/A,"FRIDAY 25
To Botzen - Kaiser Krone."
Diary 1880,1880-06-26,207,232,N/A,"SATURDAY 26
Arrived at Innspruck at 2 o'clock."
Diary 1880,1880-06-27,207,232,N/A,"SUNDAY 27
Innspruck. Rainy morning. "
Diary 1880,1880-06-28,207,232,N/A,"MONDAY 28
Innspruck. "
Diary 1880,1880-06-29,207,232,N/A,"TUESDAY 29
Innspruck.
Drove to Maria Brunn. "
Diary 1880,1880-06-30,207,232,N/A,"WEDNESDAY 30
Innspruck.
Drove along the Engadine Road."
Diary 1880,1880-07-01,207,232,N/A,"THURSDAY 1
Innspruck.
Drove 'nach Italien'. "
Diary 1880,1880-07-02,208,233,N/A,"FRIDAY 2
To Munich. "
Diary 1880,1880-07-03,208,233,N/A,"SATURDAY 3
Munich. Rainy. Saw Glyptothek and Neue Pinacothek."
Diary 1880,1880-07-04,208,233,N/A,"SUNDAY 4
Went to the Alte Pinacothek.
To Augsburg at 5. "
Diary 1880,1880-07-05,208,233,N/A,"MONDAY 5
Augsburg. "
Diary 1880,1880-07-06,208,233,N/A,"TUESDAY 6
To Stuttgardt.
Drove in the Park."
Diary 1880,1880-07-07,208,233,N/A,"WEDNESDAY 7
Stuttgardt. "
Diary 1880,1880-07-08,208,233,N/A,"THURSDAY 8
To Wild bad - Hotel Klumpp."
Diary 1880,1880-07-12,208,233,N/A,"MONDAY 12
Willie left for England. "
Diary 1880,1880-07-17,208,233,N/A,"SATURDAY 17
Drove to Baden by Herrenalb. "
Diary 1880,1880-07-18,208,233,N/A,"SUNDAY 18
AtBaden. Drove to the Alt Schloss."
Diary 1880,1880-07-19,208,233,N/A,"MONDAY19
To Strasburg. "
Diary 1880,1880-07-20,208,233,N/A,"TUESDAY 20
To Metz. "
Diary 1880,1880-07-21,208,233,N/A,"WEDNESDAY 21
To Luxembourg"
Diary 1880,1880-07-22,208,233,N/A,"THURSDAY 22
To Brussels. "
Diary 1880,1880-07-23,208,233,N/A,"FRIDAY 23
At Brussels. "
Diary 1880,1880-07-24,208,233,N/A,"SATURDAY 24
From Brussels to Dover. "
Diary 1880,1880-07-25,209,234,N/A,"SUNDAY 25
At Dover. "
Diary 1880,1880-07-26,209,234,N/A,"MONDAY 26
Arrived at Witley, 4.10. "
Diary 1880,1880-07-27,209,234,N/A,"TUESDAY 27
Brock's wages paid up to this day.
Eleanor and Florence came. "
Diary 1880,1880-07-28,209,234,N/A,"WEDNESDAY 28
Charles and Gertrude came to dine and stay the night. "
Diary 1880,1880-07-29,209,234,N/A,"THURSDAY 29
Long drive in hired carriage by Thursley and Elstead. "
Diary 1880,1880-07-30,209,234,N/A,"FRIDAY 30
Walk in the morning withJ.
Drive in the afternoon.
Began Sayce with J. "
Diary 1880,1880-07-31,209,234,N/A,"SATURDAY 31
Settled with Mrs. Dowling for account during our absence. Paid her and Brett's
wages for June 1 and July 13.
Went to lunch at Wey bridge. "
Diary 1880,1880-08-01,209,234,N/A,"SUNDAY 1
Wrote to Emily Clarke with cheque for £25 and to Josiah Mills, cheque for coal. "
Diary 1880,1880-08-02,209,234,N/A,"MONDAY 2
Brock's wages paid up to this day.
Answered letters from Lady Strangford, Mrs. Strachey, Mr. Paul. "
Diary 1880,1880-08-03,209,234,N/A,"TUESDAY 3
J. went to town to see coachman etc.
Mrs. Lathbury called. "
Diary 1880,1880-08-05,209,234,N/A,"THURSDAY 5
J. to Weybridge to play tennis. "
Diary 1880,1880-08-08,209,234,N/A,"SUNDAY 8
To Sir H. Holland's to Tea. "
Diary 1880,1880-08-09,209,234,N/A,"MONDAY 9
Went to Town together.
Saw the Chelsea House, shopped and went to the Priory. "
Diary 1880,1880-08-10,210,235,N/A,"TUESDAY 10
Delicious day. Walk in the morning.
Drive to Hampton Ponds in the afternoon.
Called at Mrs. Lathbury's and Mrs. Burrowes'.
Sayce and Promessi Sposi. "
Diary 1880,1880-08-11,210,235,N/A,"WEDNESDAY 11
J. to town.
Wrote to Eliza with cheque for August, also to Susanna and Dr. Roy. "
Diary 1880,1880-08-12,210,235,N/A,"THURSDAY 12
Wrote to Charles in answer to his letter.
Received a letter from Emily acknowledging cheque for £25. "
Diary 1880,1880-08-13,210,235,N/A,"FRIDAY 13
Send account oflncome Tax.
To go to Thornhill. Emily and Mr. Otter there.
Mr and Mrs. Spotteswoode to dine. "
Diary 1880,1880-08-14,210,235,N/A,"SATURDAY 14
At Thornhill. Mr. Hall joined us. "
Diary 1880,1880-08-17,210,235,N/A,"TUESDAY 17
Arrived at Witley- 5.6 "
Diary 1880,1880-08-24,210,235,N/A,"TUESDAY 24
J. to town. "
Diary 1880,1880-08-25,210,235,N/A,"WEDNESDAY 25
Mary and Florence to lunch. "
Diary 1880,1880-08-26,210,235,N/A,"THURSDAY 26
To Sir H. Holland's in the afternoon, for Tennis; the de Bunsens there,
Mr. Robarts, and Mr. and Miss Benson. "
Diary 1880,1880-08-27,210,235,N/A,"FRIDAY 27
J. to town: met him at Godalming. Called at Witley House on our way home. "
Diary 1880,1880-08-29,210,235,N/A,"SUNDAY 29
Started at 8.33 a.m. and went as far as Peterborough. Went round the Cathedral. "
Diary 1880,1880-08-30,210,235,N/A,"MONDAY 30
Arrived at Ran by, after pausing at Lincoln and seeing the glorious cathedral. "
Diary 1880,1880-09-03,211,236,N/A,"FRIDAY 3
Left Ranby and travelled as far as Ely, where we just walked round the Cathedral
inside and outside, dined and slept at the Lamb, and started for Newmarket the
next morning at 10.30. "
Diary 1880,1880-09-04,211,236,N/A,"SATURDAY 4
Henry met us at Newmarket and we had a pleasant drive to Six Mile.
Mr. and Mrs. Sidgwick to dinner. "
Diary 1880,1880-09-05,211,236,N/A,"SUNDAY 5
Mr. and Mrs.Jebb as well as the Sidgwicks at dinner. "
Diary 1880,1880-09-06,211,236,N/A,"MONDAY 6
Henry drove us to Mr. Parker Hammond's to see his wondrous plantations.
Mr. and Mrs. Robinson, Mr. Hudson and M. Becher to dinner. "
Diary 1880,1880-09-07,211,236,N/A,"TUESDAY 7
Returned from Six Mile to Witley. "
Diary 1880,1880-09-08,211,236,N/A,"WEDNESDAY 8
J. to town.
Sent cheque to Mr. Warren, £189.19. and also to Susanna, £18.15."
Diary 1880,1880-09-09,211,236,N/A,"THURSDAY 9
J. to town again"
Diary 1880,1880-09-13,211,236,N/A,"MONDAY 13
To the Priory. "
Diary 1880,1880-09-14,211,236,N/A,"TUESDAY 14
J. to town. Met him at Godalming. "
Diary 1880,1880-09-16,211,236,N/A,"THURSDAY 16
J. to town. Met him at Godalming.
Mrs. Greville came and recited the Revenge and the Grandmother. "
Diary 1880,1880-09-17,211,236,N/A,"FRIDAY 17
Drove to Lythe Hall. "
Diary 1880,1880-09-18,211,236,N/A,"SATURDAY 18
Called at Mrs.J. Foster's and Mrs. Evans's. "
Diary 1880,1880-09-19,211,236,N/A,"SUNDAY 19
Not well. In the morning we read Sayce, vol. z and Faust. Drove out in the
afternoon. "
Diary 1880,1880-09-20,212,237,N/A,"MONDAY 20
J. to town. "
Diary 1880,1880-09-22,212,237,N/A,"WEDNESDAY 22
Called in Mr. Parson, my ailments being no better. "
Diary 1880,1880-09-29,212,237,N/A,"WEDNESDAY 29
Still ailing. To Brighton. "
Diary 1880,1880-10-09,212,237,N/A,"SATURDAY 9
Returned from Brighton, feeling no better. "
Diary 1880,1880-10-16,212,237,N/A,"SATURDAY 16
Charles and Gertrude came to stay till Monday."
Diary 1880,1880-10-17,212,237,N/A,"SUNDAY 17
Taken very ill in the night. Relieved from pain in the day by an opiate. "
Diary 1880,1880-10-22,212,237,N/A,"FRIDAY 22
Dr. Andrew Clarke came to see me."
Diary 1880,1880-10-27,212,237,N/A,"WEDNESDAY 27
Came down stairs. "
Diary 1880,1880-10-28,212,237,N/A,"THURSDAY 28
Went out for a drive. "
Diary 1880,1880-10-30,212,237,N/A,"SATURDAY 30
Beginning to feel myself recovering."
Diary 1880,1880-10-31,212,237,N/A,"SUNDAY 31
Finished the Discours Preliminaire. "
Diary 1880,1880-11-01,212,237,N/A,"MONDAY 1
J. to town, to see about moving furniture from the Priory.
Played on the piano for the first time."
Diary 1880,1880-11-02,212,237,N/A,"TUESDAY 2
Feeling much stronger.
J. cut down trees in the afternoon. "
Diary 1880,1880-11-03,213,238,N/A,"WEDNESDAY 3
Bright day again. J. to the city.
Wrote to Miss Lewis and sent her cheque.
Also to Mrs. Congreve and Mrs. Greville. "
Diary 1880,1880-11-04,213,238,N/A,"THURSDAY 4
Began Spencer's Sociology. "
Diary 1880,1880-11-05,213,238,N/A,"FRIDAY 5
J. to town. Not so well. "
Diary 1880,1880-11-12,213,238,N/A,"FRIDAY 12
J. to town, to see aboutthe moving of furniture. "
Diary 1880,1880-11-13,213,238,N/A,"SATURDAY 13
J. to town again. "
Diary 1880,1880-11-14,213,238,N/A,"SUNDAY14
A great storm and continuous rain.
I feel better, and am conscious of gaining strength. "
Diary 1880,1880-11-15,213,238,N/A,"MONDAY 15
Wetdayagain. J. to town.
Did not go out. "
Diary 1880,1880-11-16,213,238,N/A,"TUESDAY 16
Rain with gleams of sunshine. Mr. and Mrs. Otter to lunch. J. to town, still
superintending the removal of furniture. "
Diary 1880,1880-11-17,213,238,N/A,"WEDNESDAY 17
Beautiful day. Books moved to Chelsea: J. to town. "
Diary 1880,1880-11-20,213,238,N/A,"SATURDAY 20
J. at home. "
Diary 1880,1880-11-22,213,238,N/A,"MONDAY 22
Fine frosty day.
Having finished Spencer's Sociology we began Max Muller's Lectures on the
Science of Language. "
Diary 1880,1880-11-23,213,238,N/A,"TUESDAY 23
J. to town to meet Mr. Armitage. "
